Country,Time_Interval,Diversity,Publications,ECI,GDP
Croatia,1973-1977,0.1249210505212276,2.0,,
Cuba,1973-1977,0.4153063891360565,217.45,,12483364157.8
Cyprus,1973-1977,0.240876186767951,68.17424242424242,,600297602.8000001
Czech Republic,1973-1977,,,,
Czechoslovakia,1973-1977,0.6097154097824269,15660.046708683456,,
Denmark,1973-1977,0.6445815516357694,11867.251770859846,1.282502,39945141733.8
Djibouti,1973-1977,,,,
Dominican Republic,1973-1977,0.3046323066331879,14.883333333333326,-0.2242226,3481660000.0
Ecuador,1973-1977,0.3031251770828227,40.19999999999999,-1.0762696,7668192625.0
Egypt,1973-1977,0.4617197171479713,1677.7333333333324,0.07648279999999999,
El Salvador,1973-1977,0.1888153109844864,41.333333333333314,0.518785,2052448060.0
Equatorial Guinea,1973-1977,,,,97459860.604
Eritrea,1973-1977,,,,
Estonia,1973-1977,,,,
Ethiopia,1973-1977,0.5950129260099296,169.5666666666666,-1.0370398,
Fiji,1973-1977,0.4140907554635414,85.99999999999999,,616581411.98
Finland,1973-1977,0.6446118476534637,7705.499531024523,1.351314,27828624324.4
France,1973-1977,0.669846906499999,89811.15861067022,1.57898,338682400000.0
French-Guiana,1973-1977,0.2003582504046959,6.5,,
French-Polynesia,1973-1977,0.2751559502461511,33.199999999999996,,
Gabon,1973-1977,0.2459061263707954,15.5,-1.6552479999999998,2048669737.42
Gambia,1973-1977,0.180774569515086,31.066666666666663,,
Georgia,1973-1977,0.0911153100145515,1.5,,
Germany,1973-1977,0.7342262766349577,121319.10438776884,2.07762,490913200000.0
Gilbert & Ellice Islands,1973-1977,,,,
Greece,1973-1977,0.692839134045133,2248.8447802197793,0.39444160000000006,28710819281.8
Grenada,1973-1977,,,,71494495.19
Guadeloupe,1973-1977,0.0807165791530122,44.49999999999999,,
Guatemala,1973-1977,0.3829077232921102,154.8214285714285,0.184799,3844480080.0
Guinea,1973-1977,0.1952263914758892,6.333333333333333,-1.4987844,
Guinea-Bissau,1973-1977,,,,104898600.528
Guyana,1973-1977,0.2079153051008744,36.0,,428022766.24
Haiti,1973-1977,0.154253403645434,9.66666666666666,,707920000.0
Hong-Kong,1973-1977,0.7552173491336993,980.683333333333,,
Hungary,1973-1977,0.5809681889172074,10000.662463353632,0.9034466,
Iceland,1973-1977,0.3569886963043253,111.11349206349203,,1593291990.2
India,1973-1977,0.5854748981406408,44165.83856045909,0.2087334,101543593031.8
Indonesia,1973-1977,0.4798329223369231,142.89563492063485,-1.6133279999999999,31123518072.6
Iran,1973-1977,0.694416436680044,1426.0345238095233,-1.358092,
Iraq,1973-1977,0.4951529370017982,392.9999999999999,,13540520694.2
Ireland,1973-1977,0.6821582892085908,3051.152777777773,1.0038722,9123700845.2
Israel,1973-1977,0.8240797501199337,17571.72463924961,0.818567,15116668333.4
Italy,1973-1977,0.6080306202955477,31221.487151410627,1.6642199999999998,217013000000.0
Ivory Coast,1973-1977,0.3322458236828993,251.22777777777773,,
Jamaica,1973-1977,0.5048384036251214,422.22692307692296,0.0484102,2671426542.2
Japan,1973-1977,0.5364156278330653,82154.17008726549,1.87046,548165000000.0
Jordan,1973-1977,0.4552185509817082,76.83333333333333,0.7081854,1461899514.76
Kazakhstan,1973-1977,,,,
Kenya,1973-1977,0.4360660534905244,867.3714285714277,-0.42843600000000004,3340743579.8
Kiribati,1973-1977,,,,50457465.206
Kuwait,1973-1977,0.5270874560271728,203.03333333333327,0.04096040000000001,11540921073.4
Kyrgyzstan,1973-1977,,,,
Laos,1973-1977,0.0714285714285714,1.0,-0.6661804,
Latvia,1973-1977,,,,
Lesotho,1973-1977,0.3010966677676968,20.333333333333332,,152509928.4
Libya,1973-1977,0.4857551438809254,82.74999999999999,,
Liechtenstein,1973-1977,0.1462035715295978,24.75,,236458393.34
Lithuania,1973-1977,0.0714285714285714,2.0,,
Luxembourg,1973-1977,0.2822238810806846,39.26666666666665,,3339666242.2
Macau,1973-1977,,,,
Macedonia,1973-1977,,,,
Madagascar,1973-1977,0.2844104704081597,61.33333333333333,-1.1284112,2078878874.0
Malawi,1973-1977,0.2506120123235303,99.83333333333333,,616546369.8399999
Malaysia,1973-1977,0.5684258251633212,829.0531135531132,-0.5454776,10129479092.8
Maldives,1973-1977,0.0754656988646458,2.0,,
Mali,1973-1977,0.2282815344279933,13.75,,784441606.1
Malta,1973-1977,0.4053344064240015,69.29999999999998,,469965381.56000006
Marshall Islands,1973-1977,0.1192712443645366,1.5,,
Mauritania,1973-1977,0.1326839460079369,3.0,-0.8126478,676740640.02
Mauritius,1973-1977,0.1647439373760975,27.75,,763833995.15
Mexico,1973-1977,0.7202957420010823,2697.769047619044,0.5775121999999999,77224026663.6
Monaco,1973-1977,0.2820821393939552,54.5,,669201263.86
Mongolia,1973-1977,0.2314313547895727,19.51358543417364,0.4624825,
Montenegro,1973-1977,,,,
Morocco,1973-1977,0.4311015426194988,132.19999999999996,-0.24282520000000002,8707326103.6
Mozambique,1973-1977,0.4548563975910944,31.66666666666666,-0.8712882000000001,
Namibia,1973-1977,0.2279033218215393,4.33333333333333,,
Nauru,1973-1977,,,,
Nepal,1973-1977,0.4184045605106009,31.666666666666657,,1320207503.0
Netherlands,1973-1977,0.7271086924383584,20785.138263941895,1.1289479999999998,99104064707.0
Netherlands-Antilles,1973-1977,0.277213211286541,14.5,,
New Zealand,1973-1977,0.6053658520964982,7665.736219336211,0.3230216,13731380944.4
New-Caledonia,1973-1977,0.1228861743609953,55.583333333333314,,
Nicaragua,1973-1977,0.3712570975551188,21.33333333333333,-0.0584614,1658525688.6
Niger,1973-1977,0.2179329121498927,7.5,,1075437697.6
Nigeria,1973-1977,0.6042375082601488,2849.5087662337655,-2.171378,28026547640.8
Niue,1973-1977,,,,
North Korea,1973-1977,0.0714285714285714,1.0,,
Norway,1973-1977,0.6756569540250481,8452.887827858409,1.2490999999999999,32001610766.0
Oman,1973-1977,0.0714285714285714,1.5,-0.13701180000000002,1905408176.02
Pakistan,1973-1977,0.5218664043703017,558.8261904761903,-0.05918700000000001,10961473776.8
Palau,1973-1977,0.0714285714285714,1.0,,
Palestine,1973-1977,,,,
Panama,1973-1977,0.3271478918343851,84.19999999999999,0.34630320000000003,2372754600.0
Papua New Guinea,1973-1977,0.4460723906965781,332.36190476190455,,1455132453.2
Paraguay,1973-1977,0.3096009159401787,27.666666666666664,-0.5129471999999999,1526309365.0
People's Republic of Congo,1973-1977,0.3632761179687799,26.416666666666664,,
Peru,1973-1977,0.4981920267069109,272.65564892623706,-0.6395388000000001,14459616590.4
Philippines,1973-1977,0.404901672010355,413.2249999999997,-0.3542948,15100732850.6
Poland,1973-1977,0.5290237823789222,17386.451203045297,0.9000261999999999,
Portugal,1973-1977,0.500973355585234,603.7194805194804,0.8023502,18744584641.8
Qatar,1973-1977,0.0714285714285714,1.0,-0.4964034,2521990626.4
Republic of Kosovo,1973-1977,,,,
Republic of Serbia,1973-1977,0.0842463299212331,2.9999999999999987,,
Reunion,1973-1977,0.0882996634928778,5.0,,
Romania,1973-1977,0.4416751023030115,4430.663524384105,0.6587464,
Russia,1973-1977,0.4224044307691175,134719.49525425528,,
Rwanda,1973-1977,0.1441133150172218,15.916666666666664,,511094519.34
Saint-Vincent-et-les-Grenadines,1973-1977,0.0714285714285714,0.5,,
Samoa,1973-1977,0.0918555554133269,13.5,,
San Marino,1973-1977,0.0714285714285714,0.25,,
Sao Tome & Principe,1973-1977,,,,
Saudi Arabia,1973-1977,0.4256102864034378,180.41666666666666,-1.723524,49065526558.6
Senegal,1973-1977,0.5833007191548927,244.49999999999991,-0.4125298,2520187184.4
Senegambia,1973-1977,,,,
Serbia and Montenegro,1973-1977,,,,
Seychelles,1973-1977,0.0964876060488266,2.333333333333333,,48327860.216
Sierra Leone,1973-1977,0.3379421908785112,87.33333333333333,,637966041.8199999
Singapore,1973-1977,0.5923559082366292,704.9011904761903,0.3202906,5499417053.4
Slovakia,1973-1977,0.0714285714285714,0.5,,
Slovenia,1973-1977,,,,
Solomon Islands,1973-1977,0.1650297621529642,19.5,,78134936.95199999
Somalia,1973-1977,0.1626125566518,4.166666666666666,,598256553.72
South Africa,1973-1977,0.6713644304822574,7777.89572829131,-0.2631928,36294527699.6
South Korea,1973-1977,0.6085205155826576,211.24285714285708,0.7696558,
South Sudan,1973-1977,,,,
Spain,1973-1977,0.5347239826291337,8364.974999999991,0.9166902,108329306463.8
Sri Lanka,1973-1977,0.5589093105255712,368.1249999999999,-0.9346232000000001,3587467810.4
St-Lucia,1973-1977,0.1140672515413286,2.5,,
Sudan,1973-1977,0.4574006970900973,432.5333333333333,-1.1535060000000001,5889600000.0
Suriname,1973-1977,0.160507745383858,17.916666666666654,,472360000.0
Swaziland,1973-1977,0.3275831522774522,12.333333333333332,,
Sweden,1973-1977,0.6615566304053688,24164.9302632008,1.9074380000000002,78426903140.6
Switzerland,1973-1977,0.6946398774473792,21867.947153255205,1.8339279999999998,60929026980.0
Syria,1973-1977,0.3215528069823149,22.98333333333333,0.156632,
Taiwan,1973-1977,0.5935750736251056,1355.1035714285706,,
Tajikistan,1973-1977,,,,
Tanzania,1973-1977,0.3947715997073316,323.44999999999993,-1.208504,
Thailand,1973-1977,0.4634376111238546,804.5333333333331,-0.5093752,15237772431.8
Togo,1973-1977,0.3525366427865533,36.5,-0.7101333999999999,596209894.58
Tonga,1973-1977,0.1140672515413286,2.5,,32227515.52333333
Trinidad and Tobago,1973-1977,0.3190331515116745,217.58333333333331,-0.08461279999999999,2286515236.8
Tunisia,1973-1977,0.5048381719662699,163.26666666666657,-0.1482054,4044516928.2
Turkey,1973-1977,0.6359645355461878,938.8595238095235,-0.1765306,43182990189.0
Turkmenistan,1973-1977,,,,
Tuvalu,1973-1977,,,,
Uganda,1973-1977,0.3810196237136546,376.4444444444441,,2309197961.0
Ukraine,1973-1977,0.0714285714285714,6.0,,
United Arab Emirates,1973-1977,0.2219974826746833,4.75,-0.20032899999999998,19601823454.333332
United Arab Republic,1973-1977,0.404910248295214,2253.307142857142,,
United Kingdom,1973-1977,0.8999889825124383,153528.54247917086,1.839734,227221400000.0
United States,1973-1977,0.8129703430677941,694753.307128654,1.544674,1722152000000.0
Uruguay,1973-1977,0.4312533059473519,162.25,0.38284799999999997,3874923396.2
Uzbekistan,1973-1977,0.0714285714285714,2.0,,
Vanuatu,1973-1977,0.1119522957222415,2.333333333333333,,
Vatican,1973-1977,0.0876344955183129,2.0,,
Venezuela,1973-1977,0.6447094739770735,1086.9083333333326,-1.0457998,
Vietnam,1973-1977,0.5241516663147388,113.83495295554117,-0.1996618,
Western Sahara,1973-1977,,,,
Yemen,1973-1977,0.1177135054273763,5.6666666666666625,,
Yugoslavia,1973-1977,0.6052323980505407,3997.620670995666,,
Zambia,1973-1977,0.536580579120727,337.5333333333333,-0.9631494,2647785714.4
Zimbabwe,1973-1977,0.3957751760817102,468.66666666666646,0.866985,4069113960.0
Afghanistan,1978-1982,0.309318069258957,31.749999999999993,,3529612937.5
Albania,1978-1982,0.2080969308771389,5.333333333333333,0.1926582,
Algeria,1978-1982,0.6051031773484363,339.3261904761904,-0.9488016,38301790439.4
Andorra,1978-1982,,,,386171605.06
Angola,1978-1982,0.1681373174368913,3.75,-1.566572,5677156491.0
Antarctica,1978-1982,0.1905546426233038,5.5,,
Antigua & Barbuda,1978-1982,,,,
Argentina,1978-1982,0.6233733371727829,5241.765079365075,-0.031744400000000006,73456290410.8
Armenia,1978-1982,,,,
Australia,1978-1982,0.7748948861240472,47244.98526057267,-0.0665878,154647600000.0
Austria,1978-1982,0.7478956033916677,13441.617526814416,1.852872,72071596647.8
Azerbaijan,1978-1982,,,,
Bahamas,1978-1982,0.2294175858222106,8.333333333333332,,
Bahrain,1978-1982,0.2459022926910939,11.166666666666666,,3395420719.3333335
Bangladesh,1978-1982,0.4905558486997581,439.1694805194803,-0.5634826000000001,17152077953.0
Barbados,1978-1982,0.3449485869108636,77.58333333333333,,902731069.4399999
Belgium,1978-1982,0.7387022051251635,19186.58428912845,1.4492720000000001,108243385325.8
Belize,1978-1982,0.1115660790619766,9.333333333333332,,172866880.82
Benin,1978-1982,0.3652311065501961,11.0,,1215844914.16
Bermuda,1978-1982,0.2958490067572408,32.08333333333332,,626180006.4
Bhutan,1978-1982,0.0714285714285714,1.0,,143659756.29999998
Bolivia,1978-1982,0.4126044404913689,55.474999999999966,-0.9662668,4833345699.4
Bosnia & Herzegovina,1978-1982,,,,
Botswana,1978-1982,0.2524907094161139,76.58333333333333,,911989340.8399999
Brazil,1978-1982,0.7360466209893508,8592.602353550103,0.0366624,241207600000.0
Brunei,1978-1982,0.0885463102776427,11.5,,
Bulgaria,1978-1982,0.4190486445854794,5140.627137976397,0.6729035999999999,19683743589.666668
Burkina Faso,1978-1982,0.284365446645512,83.33611111111108,,1736615693.6
Burma,1978-1982,0.3122944172911813,51.70238095238094,-0.7763554,
Burundi,1978-1982,0.1968996098465298,15.66666666666666,,858943555.5400001
Byelarus,1978-1982,,,,
Cambodia,1978-1982,,,0.826877,
Cameroon,1978-1982,0.4699806255627118,154.4666666666666,-1.3137560000000001,6384276454.2
Canada,1978-1982,0.8376091036895636,95083.92607655397,0.8766946000000001,271056200000.0
Cape Verde,1978-1982,,,,
Central African Republic,1978-1982,0.2453485497968888,32.00555555555553,,710301446.3399999
Chad,1978-1982,0.1978858570369274,17.5,,972509288.0200001
Chile,1978-1982,0.5653515040341323,2586.310490897987,-0.2263604,25333222363.0
China,1978-1982,0.5601100228736935,5301.299603174595,0.3092656,183985400000.0
Ciskei,1978-1982,,,,
Colombia,1978-1982,0.5382751742883813,501.78928571428537,-0.078641,31992213088.6
Comoros,1978-1982,,,,197525729.9
Congo,1978-1982,0.4811274349950685,163.79999999999993,,
Cook Islands,1978-1982,0.1932276574640711,10.083333333333332,,
Costa Rica,1978-1982,0.2837640333286809,442.52499999999975,0.30432939999999997,3524120692.6
Crimea,1978-1982,,,,
Croatia,1978-1982,0.0714285714285714,1.0,,
Cuba,1978-1982,0.4006546975714562,521.2714646464646,,19689160561.0
Cyprus,1978-1982,0.3177436509300884,65.04444444444444,,1730758358.0400002
Czech Republic,1978-1982,0.1448102622251296,2.833333333333333,,
Czechoslovakia,1978-1982,0.5800370070869514,19824.05692156057,,
Denmark,1978-1982,0.6799680831412538,16327.561921794391,1.349686,64829472233.4
Djibouti,1978-1982,0.1931189918113431,2.833333333333333,,
Dominican Republic,1978-1982,0.3705654576600088,38.77738095238094,-0.1784936,6564640000.0
Ecuador,1978-1982,0.4638534235065344,58.80833333333332,-0.9097652,17143960729.2
Egypt,1978-1982,0.4817777691703753,5625.569642857138,-0.3261804,
El Salvador,1978-1982,0.3801493513057351,41.15833333333332,0.2940628,3400389820.0
Equatorial Guinea,1978-1982,,,,43889650.449999996
Eritrea,1978-1982,,,,
Estonia,1978-1982,,,,
Ethiopia,1978-1982,0.4244407175955551,217.07142857142847,-1.0432599999999999,7516290603.5
Fiji,1978-1982,0.5024917166756319,78.35,,1096293211.16
Finland,1978-1982,0.7071084334809303,12236.399524400822,1.39452,47922506747.2
France,1978-1982,0.7199805136313631,112632.0925345877,1.6492460000000002,604475800000.0
French-Guiana,1978-1982,0.1708771209568131,20.666666666666657,,
French-Polynesia,1978-1982,0.2167962629216548,40.08333333333333,,
Gabon,1978-1982,0.2827794401677183,35.76666666666665,-1.4199519999999999,3435929058.0
Gambia,1978-1982,0.2054203002876748,36.183333333333316,,
Georgia,1978-1982,,,,
Germany,1978-1982,0.7836666775322849,167816.20651461426,2.04206,829830800000.0
Gilbert & Ellice Islands,1978-1982,0.0714285714285714,3.7,,
Greece,1978-1982,0.6027255875733781,3993.578052503048,0.3067274,52509248227.0
Grenada,1978-1982,,,,108510942.88
Guadeloupe,1978-1982,0.2288998129571349,69.89285714285712,,
Guatemala,1978-1982,0.4453201121046617,195.57142857142836,0.12520579999999998,7635280080.0
Guinea,1978-1982,0.1267484024671876,2.5,-1.870888,
Guinea-Bissau,1978-1982,,,,134422833.76
Guyana,1978-1982,0.2961634989893567,39.33333333333333,,538615421.42
Haiti,1978-1982,0.1914124544443191,9.916666666666666,,1278440000.0
Hong-Kong,1978-1982,0.7792819510535364,1679.207081807081,,
Hungary,1978-1982,0.5794163790658227,13031.4599450386,0.9391398000000001,
Iceland,1978-1982,0.4155271339970137,235.04126984126964,,3093904388.8
India,1978-1982,0.5676288098459676,66130.89274891764,0.2704662,174164600000.0
Indonesia,1978-1982,0.4910274828032355,324.8261904761903,-1.570294,70202985121.4
Iran,1978-1982,0.689995867515308,1467.060353535353,-1.249936,
Iraq,1978-1982,0.5081333161604245,930.5345238095235,,39200944807.6
Ireland,1978-1982,0.646542175160979,4163.907393483704,1.199712,19395225605.4
Israel,1978-1982,0.8378883150629653,22722.57811574387,0.9262637999999999,23187700926.6
Italy,1978-1982,0.6535486621037365,44520.840883165874,1.6453400000000002,408793600000.0
Ivory Coast,1978-1982,0.3251461323101805,490.91230158730133,,
Jamaica,1978-1982,0.5346471120739733,615.2559523809522,-0.030888000000000006,2804297476.6
Japan,1978-1982,0.5664254996086946,126808.14152586515,1.864528,1105504000000.0
Jordan,1978-1982,0.7415978436928223,234.33333333333331,0.9186268,3769953298.8
Kazakhstan,1978-1982,,,,
Kenya,1978-1982,0.5303957316329245,1368.9730158730144,-0.3627776,6417902400.2
Kiribati,1978-1982,,,,41697522.496
Kuwait,1978-1982,0.6030090482322088,589.4166666666666,0.2308202,23104025746.4
Kyrgyzstan,1978-1982,,,,
Laos,1978-1982,0.0714285714285714,2.333333333333333,-0.027941,
Latvia,1978-1982,,,,
Lesotho,1978-1982,0.3284941621909804,19.66666666666666,,354239617.74
Libya,1978-1982,0.4470109830153295,239.83333333333331,,
Liechtenstein,1978-1982,0.0930901535452145,33.0,,501709956.88
Lithuania,1978-1982,0.0714285714285714,1.0,,
Luxembourg,1978-1982,0.2671967425716314,81.99444444444443,,5364938142.0
Macau,1978-1982,0.0714285714285714,2.0,,
Macedonia,1978-1982,,,,
Madagascar,1978-1982,0.4358780763169162,48.41666666666665,-1.1694316,4175890133.0
Malawi,1978-1982,0.3686202521178321,124.78333333333333,,1132549690.3600001
Malaysia,1978-1982,0.6190614614053076,1127.3218253968248,-0.31127760000000004,22773808190.4
Maldives,1978-1982,0.0714285714285714,1.0,,45060292.300000004
Mali,1978-1982,0.2450489578468856,42.383333333333326,,1490108529.2
Malta,1978-1982,0.4322958689441709,44.41666666666666,,1104641120.3799999
Marshall Islands,1978-1982,0.0760125477053381,1.25,,32969000.0
Mauritania,1978-1982,0.1671824391263817,5.333333333333333,-1.1870916,1003745369.8
Mauritius,1978-1982,0.1819911191699711,38.166666666666664,,1115819390.6
Mexico,1978-1982,0.7302827822523033,3782.6840007214937,0.4875062,178153600000.0
Monaco,1978-1982,0.2176969994033345,59.16666666666666,,1187392024.4
Mongolia,1978-1982,0.3695957211969009,50.92724301841945,0.2808026,2431250516.5
Montenegro,1978-1982,,,,
Morocco,1978-1982,0.6523448450403846,418.2047619047618,-0.1561,17271654161.8
Mozambique,1978-1982,0.3148577495798914,25.916666666666664,-0.6157488,
Namibia,1978-1982,0.2710423149429407,22.699999999999996,,2261640945.0
Nauru,1978-1982,,,,
Nepal,1978-1982,0.4432743401178285,74.58333333333331,,2014468451.4
Netherlands,1978-1982,0.7715452697884111,31283.643170323947,1.130324,170659000000.0
Netherlands-Antilles,1978-1982,0.1439441555784648,20.333333333333332,,
New Zealand,1978-1982,0.6449063863018747,10661.513138138127,0.34012560000000003,22217705827.2
New-Caledonia,1978-1982,0.2288550414908032,80.63333333333331,,
Nicaragua,1978-1982,0.2470974889847593,11.75,-0.16140380000000001,2154556779.6
Niger,1978-1982,0.4283367662671106,31.5,,2116134505.8
Nigeria,1978-1982,0.6716157001307645,5129.070274170271,-2.2202979999999997,91046712445.2
Niue,1978-1982,,,,
North Korea,1978-1982,0.1107838135633032,2.0,,
Norway,1978-1982,0.7357377167003505,10765.488248168225,1.0371328,58067713765.8
Oman,1978-1982,0.2058615663759536,2.833333333333333,-0.40048580000000006,5453850782.0
Pakistan,1978-1982,0.5243038787392298,856.0940476190472,-0.038012000000000004,23996184211.8
Palau,1978-1982,0.0767771301105639,2.25,,
Palestine,1978-1982,,,,
Panama,1978-1982,0.2879278714914431,76.33333333333331,0.2618522,4511077200.0
Papua New Guinea,1978-1982,0.4906400624646373,433.49999999999994,,2330841159.4
Paraguay,1978-1982,0.195486917927406,27.58333333333333,-0.8224767999999999,4293729972.2
People's Republic of Congo,1978-1982,0.3598003269658475,46.41666666666666,,
Peru,1978-1982,0.5393640722434165,314.3558473389354,-0.33142679999999997,18006980537.6
Philippines,1978-1982,0.4275507558984213,894.4838744588739,-0.1581318,31089089386.4
Poland,1978-1982,0.55083694199452,22756.250255892824,0.9487932000000001,
Portugal,1978-1982,0.55776727093564,928.0129490392641,0.8447354,29102396770.8
Qatar,1978-1982,0.5065110954723783,37.166666666666664,-0.1747544,6754412464.4
Republic of Kosovo,1978-1982,,,,
Republic of Serbia,1978-1982,0.0714285714285714,1.0,,
Reunion,1978-1982,0.2142302363214582,23.58333333333333,,
Romania,1978-1982,0.4220816019660776,4473.237467108048,0.6757516,
Russia,1978-1982,0.45320754776393,161784.53323038106,,
Rwanda,1978-1982,0.1886439093100781,14.166666666666659,,1216825193.26
Saint-Vincent-et-les-Grenadines,1978-1982,,,,
Samoa,1978-1982,0.0881653286615264,8.083333333333332,,121221651.6
San Marino,1978-1982,0.0714285714285714,1.0,,
Sao Tome & Principe,1978-1982,,,,
Saudi Arabia,1978-1982,0.5192315775756028,1056.3666666666663,-2.100818,138839723897.0
Senegal,1978-1982,0.5016802044569446,317.5499999999999,-0.39632860000000003,3951747863.8
Senegambia,1978-1982,0.4725562120363046,64.80555555555553,,
Serbia and Montenegro,1978-1982,,,,
Seychelles,1978-1982,0.1920859080005119,21.249999999999996,,132597126.142
Sierra Leone,1978-1982,0.3171480276321899,91.58333333333333,,1116196252.78
Singapore,1978-1982,0.522510808563492,849.2355519480518,0.2197184,11793967216.8
Slovakia,1978-1982,,,,
Slovenia,1978-1982,,,,
Solomon Islands,1978-1982,0.2259132652124008,23.83333333333333,,161353400.88
Somalia,1978-1982,0.2252397234390114,24.91666666666666,,646506081.62
South Africa,1978-1982,0.6573923644503409,10653.524696969685,-0.125504,70248626932.2
South Korea,1978-1982,0.6230982136841452,764.8874999999996,0.8459724,
South Sudan,1978-1982,,,,
Spain,1978-1982,0.5297406395918564,17161.219375477445,1.0511279999999998,201354800000.0
Sri Lanka,1978-1982,0.5423310771777647,460.98333333333323,-0.6505804,3861405272.4
St-Lucia,1978-1982,,,,
Sudan,1978-1982,0.4874843518685697,528.9357142857139,-1.192858,8683816666.6
Suriname,1978-1982,0.2335023679527338,17.41666666666666,,823400000.0
Swaziland,1978-1982,0.3259866576102477,24.483333333333324,,
Sweden,1978-1982,0.7198390683913996,31067.644553790076,1.9237739999999999,122797600000.0
Switzerland,1978-1982,0.6998492128586438,28891.002144505772,1.906914,110134246868.0
Syria,1978-1982,0.3752902699233427,35.583333333333314,-0.0014250000000000096,
Taiwan,1978-1982,0.5619104105727708,2298.202380952379,,
Tajikistan,1978-1982,,,,
Tanzania,1978-1982,0.5663381044829389,398.05995670995634,-0.979696,
Thailand,1978-1982,0.5416946982232443,1520.2348304473276,-0.1949792,31033523141.4
Togo,1978-1982,0.1970541337055833,34.58333333333333,-1.272062,927289496.36
Tonga,1978-1982,0.1965294234104856,5.25,,52760945.102
Trinidad and Tobago,1978-1982,0.4376324377496838,280.8944444444443,-0.3494376,5906616683.2
Tunisia,1978-1982,0.5473488681135869,350.9999999999999,-0.0905854,7692457012.8
Turkey,1978-1982,0.6267541006242117,1351.1261904761898,-0.002320600000000006,71783350086.2
Turkmenistan,1978-1982,,,,
Tuvalu,1978-1982,0.0714285714285714,0.5,,
Uganda,1978-1982,0.412651005278603,180.2285714285714,,1863739174.0
Ukraine,1978-1982,0.0714285714285714,0.333333333333333,,
United Arab Emirates,1978-1982,0.5052091303433641,41.33333333333333,-0.053861999999999986,38911237238.0
United Arab Republic,1978-1982,,,,
United Kingdom,1978-1982,0.9177026965818936,184374.59633710704,1.8351300000000001,479128000000.0
United States,1978-1982,0.8108038492388556,871948.5361767752,1.485558,2877414000000.0
Uruguay,1978-1982,0.4902541518089388,189.0238095238095,0.3205806,8496320076.2
Uzbekistan,1978-1982,,,,
Vanuatu,1978-1982,0.2577367828344636,8.5,,107393266.4725
Vatican,1978-1982,0.1376514867780669,1.0,,
Venezuela,1978-1982,0.6156288634302647,1810.9865079365068,-1.1796520000000001,
Vietnam,1978-1982,0.2417312180291703,165.66666666666666,-0.38512240000000003,
